Frankablu/CATMOS;82038784;10728;-1;247
JMVARA/metagem;60788736;667;1153;17
JMVARA/metagem;60788736;667;1153;18
SEALABQualityGroup/padre-examaple;1317888;71;967;2
quratulain-ali/org.eclipse.epsilon;189507584;9189;-1;411
quratulain-ali/org.eclipse.epsilon;189507584;9189;-1;334
JMVARA/metagem;60788736;667;-1;12
JMVARA/metagem;60788736;667;-1;14
JMVARA/metagem;60788736;667;-1;13
JMVARA/metagem;60788736;667;-1;13
Fhma/MT_EOL;44603392;7346;-1;132
Fhma/MT_EOL;44603392;7346;-1;104
florezfernandez/iArchiMate;2714624;1116;959;26
florezfernandez/iArchiMate;2714624;1116;959;23
Fhma/MT_EOL;44603392;7346;-1;122
Fhma/MT_EOL;44603392;7346;-1;126
Fhma/MT_EOL;44603392;7346;-1;111
Fhma/MT_EOL;44603392;7346;-1;119
artist-project/ARTIST-MUT;53452800;2863;5468;81
Fhma/MT_EOL;44603392;7346;-1;127
Fhma/MT_EOL;44603392;7346;-1;111
Fhma/MT_EOL;44603392;7346;-1;108
Fhma/MT_EOL;44603392;7346;-1;108
Fhma/MT_EOL;44603392;7346;-1;114
DevBoost/OntoMoPP;32878592;1514;5704;37
Fhma/MT_EOL;44603392;7346;-1;139
adisandro/MMINT;346191872;7294;-1;234
adisandro/MMINT;346191872;7294;-1;268
varusblack/comida-rapida;40665088;227;3680;7
florezfernandez/iArchiMate;2714624;1116;-1;23
florezfernandez/iArchiMate;2714624;1116;-1;24
Frankablu/CATMOS;82038784;10728;-1;251
Frankablu/CATMOS;82038784;10728;-1;257
KybeleResearch/servicereasoning;2650112;4554;1658;97
KybeleResearch/servicereasoning;2650112;4554;1658;97
KybeleResearch/servicereasoning;2650112;4554;-1;119
KybeleResearch/servicereasoning;2650112;4554;-1;104
KybeleResearch/servicereasoning;2650112;4554;-1;92
KybeleResearch/servicereasoning;2650112;4554;-1;114
KybeleResearch/servicereasoning;2650112;4554;-1;90
KybeleResearch/servicereasoning;2650112;4554;-1;83
KybeleResearch/servicereasoning;2650112;4554;-1;90
KybeleResearch/servicereasoning;2650112;4554;-1;98
KybeleResearch/servicereasoning;2650112;4554;-1;91
KybeleResearch/servicereasoning;2650112;4554;-1;90
KybeleResearch/servicereasoning;2650112;4554;-1;105
KybeleResearch/servicereasoning;2650112;4554;-1;100
KybeleResearch/servicereasoning;2650112;4554;-1;92
KybeleResearch/servicereasoning;2650112;4554;-1;94
KybeleResearch/servicereasoning;2650112;4554;-1;84
KybeleResearch/servicereasoning;2650112;4554;-1;82
KybeleResearch/servicereasoning;2650112;4554;-1;96
KybeleResearch/servicereasoning;2650112;4554;-1;84
KybeleResearch/servicereasoning;2650112;4554;-1;86
KybeleResearch/servicereasoning;2650112;4554;-1;105
KybeleResearch/servicereasoning;2650112;4554;-1;88
KybeleResearch/servicereasoning;2650112;4554;-1;94
KybeleResearch/servicereasoning;2650112;4554;-1;95
KybeleResearch/servicereasoning;2650112;4554;-1;96
KybeleResearch/servicereasoning;2650112;4554;-1;89
KybeleResearch/servicereasoning;2650112;4554;-1;85
KybeleResearch/servicereasoning;2650112;4554;-1;99
KybeleResearch/servicereasoning;2650112;4554;-1;98
KybeleResearch/servicereasoning;2650112;4554;-1;92
KybeleResearch/servicereasoning;2650112;4554;-1;83
KybeleResearch/servicereasoning;2650112;4554;-1;88
KybeleResearch/servicereasoning;2650112;4554;-1;93
artist-project/ARTIST-MUT;53452800;2863;-1;85
artist-project/ARTIST;636179456;14210;30119;502
utwente-fmt/COMET;401441792;15268;24946;459
utwente-fmt/COMET;401441792;15268;24946;414
utwente-fmt/COMET;401441792;15268;-1;435
